168	28
59	23
59	23
59	23
59	23
59	23
59	23
59	23
59	23
59	23
59	23
59	23
60	23
60	23
61	23
61	23
61	23
61	23
60	23
60	23
60	23
59	22
59	22
59	22
59	22
59	22
59	22
59	22
59	22
60	23
61	23
62	23
63	24
65	24
66	24
69	25
71	25
73	25
75	25
78	25
81	25
83	25
85	24
88	24
90	23
93	23
95	23
97	23
100	23
102	23
104	24
106	23
108	23
110	23
111	23
113	23
115	23
116	22
118	23
119	23
120	23
122	23
123	23
123	24
123	24
124	24
124	24
125	25
125	25
126	26
127	26
127	26
127	26
127	26
126	26
127	26
127	26
127	26
127	26
127	26
127	26
127	26
127	26
127	26
127	26
127	26
127	26
127	26
127	26
127	26
127	25
127	25
127	25
127	25
127	25
127	25
128	25
128	25
128	25
128	25
128	25
128	25
128	25
128	25
128	25
128	25
128	25
129	25
129	25
129	25
129	25
129	25
129	25
129	25
129	25
129	25
